                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.21111,                0.19883,                0.38334,                0.89279,                 0.9632,                0.97946,                 0.9909,                0.97487,                 0.9632,                0.97946,                 0.9909,                0.98194,                0.23955,                0.18159,                0.29531,                  0.761,             0.00025309,             0.00025309,             0.00025309
                     42,                0.20723,                0.21663,                0.31164,                0.88678,                0.96504,                0.97416,                0.97579,                0.96155,                0.96504,                0.97416,                0.97579,                 0.9676,                0.21375,                0.17425,                0.29676,                 0.7456,             0.00023109,             0.00023109,             0.00023109
                     43,                0.19766,                0.17749,                0.31517,                0.85677,                 0.9427,                0.93886,                0.97035,                0.96017,                 0.9427,                0.93886,                0.97035,                0.96067,                0.19889,                0.16574,                 0.3185,                0.72837,             0.00020909,             0.00020909,             0.00020909
                     44,                0.20301,                0.17367,                0.31963,                0.87395,                0.97895,                0.96501,                0.97919,                0.96018,                0.97895,                0.96501,                0.97919,                0.96981,                 0.2297,                0.16227,                 0.2888,                0.75466,             0.00018709,             0.00018709,             0.00018709
                     45,                0.19589,                0.16631,                0.27132,                0.87186,                0.97967,                0.97316,                 0.9823,                0.97168,                0.97967,                0.97316,                 0.9823,                0.97351,                0.18496,                0.16661,                0.24442,                0.73012,             0.00016509,             0.00016509,             0.00016509
                     46,                0.18134,                0.16144,                0.25098,                0.87389,                0.98013,                0.98146,                0.99027,                0.97254,                0.98013,                0.98146,                0.99027,                0.98107,                0.22148,                0.17185,                0.24627,                0.74998,              0.0001431,              0.0001431,              0.0001431
                     47,                0.17882,                0.16529,                  0.249,                0.85464,                0.97693,                0.98476,                0.98656,                0.97236,                0.97693,                0.98476,                0.98656,                0.97764,                0.18984,                0.16973,                0.24074,                0.72964,              0.0001211,              0.0001211,              0.0001211
                     48,                0.16597,                0.15676,                0.22255,                0.85372,                0.97987,                0.98202,                 0.9888,                0.97598,                0.97987,                0.98202,                 0.9888,                  0.981,                0.18053,                  0.165,                0.22236,                0.72886,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.15736,                0.15463,                0.21588,                0.84798,                0.97672,                 0.9908,                0.99368,                 0.9819,                0.97672,                 0.9908,                0.99368,                0.98393,                0.17509,                0.16551,                0.21438,                0.71909,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.14293,                0.14585,                 0.2179,                0.84694,                0.97687,                0.97798,                0.99468,                0.98026,                0.97687,                0.97798,                0.99468,                0.98589,                 0.1705,                0.16492,                 0.2129,                0.72018,             5.5106e-05,             5.5106e-05,             5.5106e-05
